               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096831,            0.023895,             0.07402,                   0,                   0,                   0,                   0,            0.056023,            0.018088,            0.052708,             0.00038,             0.00038,             0.09658
                   1,            0.077297,            0.026003,            0.067116,                   0,                   0,                   0,                   0,            0.051951,            0.017649,            0.049159,          0.00076998,          0.00076998,             0.09307
                   2,            0.073312,            0.025931,            0.062464,                   0,                   0,                   0,                   0,            0.049023,            0.017633,            0.045931,           0.0011599,           0.0011599,             0.08956
                   3,            0.070428,            0.024707,            0.057242,           0.0017017,             0.39125,           0.0024653,          0.00051156,            0.049213,            0.017203,            0.043075,           0.0015497,           0.0015497,             0.08605
                   4,             0.07044,            0.025866,            0.054873,           0.0026134,             0.54229,           0.0024807,          0.00048823,            0.049404,            0.016776,            0.040699,           0.0019392,           0.0019392,            0.082539
                   5,            0.073482,            0.024497,            0.052679,           0.0021063,           0.0033167,          0.00064586,          0.00012658,            0.093607,            0.044108,             0.30394,           0.0023286,           0.0023286,            0.079029
                   6,            0.072751,            0.026075,              0.0501,           0.0021835,            0.082463,           0.0011984,          0.00033762,             0.07088,             0.04773,            0.075696,           0.0027176,           0.0027176,            0.075518
                   7,            0.067436,            0.025299,            0.046589,            0.018261,            0.099674,            0.012238,           0.0022755,            0.050061,            0.014943,            0.037272,           0.0031062,           0.0031062,            0.072006
                   8,            0.065883,             0.02413,            0.042849,             0.17413,             0.46784,             0.24524,            0.085173,            0.038158,            0.014212,            0.029872,           0.0034945,           0.0034945,            0.068494
                   9,            0.063897,            0.021324,            0.040367,             0.20302,             0.37781,             0.27021,            0.083247,            0.043002,            0.013015,            0.027625,           0.0038822,           0.0038822,            0.064982
                  10,            0.062085,            0.021379,            0.039217,             0.40608,             0.52578,              0.3508,             0.10954,            0.039292,            0.012282,            0.025801,           0.0042694,           0.0042694,            0.061469
                  11,            0.058009,            0.020968,             0.03738,             0.16593,             0.39399,             0.17828,            0.042474,             0.04804,            0.017514,            0.025977,           0.0046561,           0.0046561,            0.057956
                  12,            0.058284,            0.019143,            0.035959,             0.26775,              0.2711,             0.23701,            0.064382,            0.043356,            0.012605,            0.022328,            0.005042,            0.005042,            0.054442
                  13,            0.059791,            0.020255,            0.034943,             0.10566,             0.54745,             0.10355,            0.018904,            0.065261,            0.012417,            0.033206,           0.0054273,           0.0054273,            0.050927
                  14,            0.056069,            0.018552,            0.032928,            0.054449,             0.23958,            0.031911,           0.0060221,            0.053191,            0.022763,            0.030476,           0.0058118,           0.0058118,            0.047412
                  15,            0.055702,            0.018705,            0.030915,              0.4042,             0.71741,              0.4842,             0.14073,             0.03802,            0.010103,            0.028688,           0.0061955,           0.0061955,            0.043895
                  16,            0.053815,            0.018441,            0.031215,             0.62447,             0.63739,             0.62613,             0.28245,            0.033136,            0.010597,            0.018478,           0.0065783,           0.0065783,            0.040378
                  17,            0.050947,             0.01696,            0.028944,             0.59909,             0.74226,             0.77815,             0.36874,            0.029138,            0.009384,            0.018448,           0.0069601,           0.0069601,             0.03686
                  18,             0.05032,            0.017401,            0.027446,             0.11592,             0.44466,            0.091441,            0.030713,            0.045225,            0.027382,            0.030373,            0.007341,            0.007341,            0.033341
                  19,            0.051086,            0.017338,            0.026813,              0.5264,             0.36851,              0.3839,            0.097131,            0.053031,           0.0092696,            0.019474,           0.0077208,           0.0077208,            0.029821
                  20,            0.047601,             0.01671,            0.024505,             0.38193,             0.68355,             0.36465,             0.15335,            0.030992,            0.010094,            0.032507,           0.0080996,           0.0080996,              0.0263
                  21,            0.050902,            0.016704,            0.024804,              0.2687,             0.64484,             0.42192,             0.18753,            0.039909,           0.0091763,            0.028182,           0.0084771,           0.0084771,            0.022777
                  22,            0.051761,            0.016704,            0.023726,             0.56392,             0.56419,              0.4991,             0.18446,            0.042316,           0.0091525,            0.014815,           0.0088535,           0.0088535,            0.019253
                  23,            0.052092,            0.015953,            0.023363,             0.10028,             0.74833,             0.20271,            0.063115,            0.036668,            0.011274,            0.072665,           0.0092285,           0.0092285,            0.015729
                  24,            0.050278,             0.01559,             0.02348,             0.54379,             0.54633,             0.46434,             0.14254,            0.044668,           0.0088507,            0.020659,           0.0096023,           0.0096023,            0.012202
                  25,            0.047902,            0.016559,            0.022075,             0.92308,             0.85066,             0.91516,             0.49843,            0.027554,           0.0086639,           0.0082758,           0.0098467,           0.0098467,           0.0098467
                  26,            0.048142,            0.015558,            0.019701,             0.72424,             0.79257,             0.78627,             0.31804,            0.031639,           0.0091828,           0.0075026,           0.0098467,           0.0098467,           0.0098467
                  27,            0.048238,            0.016301,             0.01914,             0.60364,             0.41582,             0.40003,             0.12481,            0.054028,           0.0086569,            0.017139,           0.0098342,           0.0098342,           0.0098342
