               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09395,            0.024768,            0.072386,            0.016878,             0.23976,            0.011791,           0.0030479,            0.051385,            0.018888,             0.04467,             0.00043,             0.00043,             0.09613
                   1,            0.067272,            0.026969,            0.054488,             0.32688,             0.72477,             0.37651,             0.15828,            0.034729,            0.016241,              0.0331,          0.00086998,          0.00086998,             0.09217
                   2,            0.052705,            0.023945,            0.042976,             0.43347,             0.82452,             0.61078,             0.29819,            0.027644,            0.012219,            0.028175,           0.0013099,           0.0013099,             0.08821
                   3,            0.050021,            0.018668,            0.036291,             0.43781,             0.72058,             0.60134,             0.25585,             0.03009,           0.0098202,             0.02331,           0.0017496,           0.0017496,             0.08425
                   4,            0.053284,            0.017044,            0.031504,             0.36124,             0.77675,             0.62665,             0.21976,            0.038255,           0.0086248,            0.016983,           0.0021891,           0.0021891,            0.080289
                   5,            0.052601,            0.015249,            0.025818,             0.49863,             0.89751,             0.71678,             0.37096,            0.034587,           0.0077843,            0.011051,           0.0026284,           0.0026284,            0.076328
                   6,            0.050345,            0.014262,            0.020431,             0.64776,             0.77103,             0.77309,             0.39064,            0.030905,           0.0073269,           0.0072493,           0.0030673,           0.0030673,            0.072367
                   7,            0.049094,            0.013782,             0.01616,             0.61659,             0.73108,             0.74751,             0.38525,            0.032351,           0.0073203,           0.0091594,           0.0035058,           0.0035058,            0.068406
                   8,            0.048421,            0.013096,            0.015985,             0.79813,             0.81199,             0.91293,             0.55602,            0.029044,           0.0073578,           0.0060976,           0.0039438,           0.0039438,            0.064444
                   9,            0.046662,            0.012921,            0.014465,             0.88618,             0.91352,             0.94397,             0.48479,            0.030775,           0.0062156,           0.0054537,           0.0043812,           0.0043812,            0.060481
                  10,            0.044948,            0.012266,             0.01374,             0.62008,             0.90469,             0.89765,             0.62137,             0.02706,            0.006131,           0.0062634,           0.0048181,           0.0048181,            0.056518
                  11,            0.048219,            0.011797,            0.012481,             0.51506,             0.88152,             0.70622,             0.37495,            0.034091,           0.0068669,           0.0068839,           0.0052543,           0.0052543,            0.052554
                  12,            0.048316,            0.012155,            0.014184,             0.69302,             0.65147,             0.78571,             0.47256,            0.026372,           0.0073993,            0.016951,           0.0056897,           0.0056897,             0.04859
                  13,            0.045718,            0.011561,            0.011772,             0.84305,             0.94237,             0.91598,             0.61618,            0.023663,           0.0056565,           0.0044461,           0.0061244,           0.0061244,            0.044624
                  14,            0.044769,            0.011974,            0.015417,             0.91417,             0.87541,             0.94936,             0.47322,            0.026254,           0.0062938,           0.0051389,           0.0065582,           0.0065582,            0.040658
                  15,            0.043148,            0.011901,            0.011903,             0.83423,             0.96288,             0.96211,             0.67708,            0.025341,           0.0057199,           0.0038442,           0.0069911,           0.0069911,            0.036691
                  16,            0.041979,            0.011332,            0.011602,             0.96614,             0.88955,             0.96986,             0.59786,             0.02429,           0.0055764,           0.0046473,           0.0074229,           0.0074229,            0.032723
                  17,             0.03999,             0.01108,            0.012289,             0.93203,             0.94909,             0.98593,             0.70413,             0.02149,           0.0057938,            0.004869,           0.0078537,           0.0078537,            0.028754
                  18,            0.041035,            0.011408,            0.010976,             0.91751,             0.89675,             0.94747,             0.62311,            0.023882,           0.0058522,           0.0042681,           0.0082834,           0.0082834,            0.024783
                  19,            0.042603,             0.01182,            0.011885,             0.92725,              0.8354,             0.93466,             0.64524,            0.024061,           0.0058222,            0.006018,            0.008712,            0.008712,            0.020812
                  20,            0.042101,            0.011559,            0.012468,             0.94539,             0.90639,             0.97092,             0.65402,            0.024592,           0.0062273,           0.0059702,           0.0091392,           0.0091392,            0.016839
                  21,            0.040977,              0.0113,            0.012396,             0.89299,             0.84368,              0.9323,             0.56457,            0.025682,           0.0064523,           0.0054684,           0.0095652,           0.0095652,            0.012865
                  22,            0.040017,            0.011555,            0.012119,             0.93093,             0.82573,             0.94084,             0.61948,            0.027581,           0.0061202,           0.0042252,           0.0098811,           0.0098811,           0.0098811
                  23,            0.038314,            0.011359,            0.012082,             0.77125,             0.90599,             0.90936,             0.62376,            0.023521,           0.0062814,           0.0048741,           0.0098811,           0.0098811,           0.0098811
                  24,            0.037984,            0.011021,            0.011581,             0.92132,             0.91672,             0.97893,             0.66459,            0.022967,           0.0059672,            0.004518,           0.0098701,           0.0098701,           0.0098701
                  25,            0.036684,            0.010926,            0.013321,             0.95953,             0.91847,              0.9695,             0.61923,             0.02254,            0.006627,           0.0045884,           0.0098586,           0.0098586,           0.0098586
                  26,            0.036306,             0.01104,            0.012266,              0.9509,             0.92562,             0.96952,             0.68407,            0.020953,           0.0061926,           0.0051391,           0.0098467,           0.0098467,           0.0098467
                  27,            0.034586,            0.010603,            0.010649,             0.98613,             0.94637,             0.97717,             0.68691,            0.018391,           0.0059684,            0.003853,           0.0098342,           0.0098342,           0.0098342
